ngrams,freq,prop
get hand ,21,9.39E-06
day call ,21,9.39E-06
cool see ,21,9.39E-06
heat fan ,21,9.39E-06
rt wow ,21,9.39E-06
new begin ,21,9.39E-06
gov chris ,21,9.39E-06
minut ago ,21,9.39E-06
day also ,21,9.39E-06
can let ,21,9.39E-06
see anyth ,21,9.39E-06
soon rt ,21,9.39E-06
oh hey ,21,9.39E-06
may also ,21,9.39E-06
know big ,21,9.39E-06
now tri ,21,9.39E-06
call now ,21,9.39E-06
day sinc ,21,9.39E-06
iron man ,21,9.39E-06
els go ,21,9.39E-06
can sit ,21,9.39E-06
know day ,21,9.39E-06
can run ,21,9.39E-06
big hug ,21,9.39E-06
us use ,21,9.39E-06
day let ,21,9.39E-06
lol yea ,21,9.39E-06
tri use ,21,9.39E-06
can can ,21,9.39E-06
u enjoy ,21,9.39E-06
you鈥檙 go ,21,9.39E-06
big one ,21,9.39E-06
fan get ,21,9.39E-06
see big ,21,9.39E-06
lol see ,21,9.39E-06
one now ,21,9.39E-06
five minut ,21,9.39E-06
ask u ,21,9.39E-06
done done ,20,8.95E-06
oh cool ,20,8.95E-06
day job ,20,8.95E-06
vote yes ,20,8.95E-06
us let ,20,8.95E-06
man get ,20,8.95E-06
icon boyz ,20,8.95E-06
enjoy new ,20,8.95E-06
kno u ,20,8.95E-06
can pay ,20,8.95E-06
know goe ,20,8.95E-06
year �?,20,8.95E-06
even say ,20,8.95E-06
us say ,20,8.95E-06
pm et ,20,8.95E-06
two minut ,20,8.95E-06
oil gas ,20,8.95E-06
us even ,20,8.95E-06
d get ,20,8.95E-06
know mayb ,20,8.95E-06
meet one ,20,8.95E-06
man man ,20,8.95E-06
haha yes ,20,8.95E-06
got big ,20,8.95E-06
save life ,20,8.95E-06
come meet ,20,8.95E-06
know it鈥檚 ,20,8.95E-06
sad sad ,20,8.95E-06
bro lol ,20,8.95E-06
teach us ,20,8.95E-06
now call ,20,8.95E-06
sinc day ,20,8.95E-06
life rt ,20,8.95E-06
week one ,20,8.95E-06
don鈥檛 get ,20,8.95E-06
didn鈥檛 know ,20,8.95E-06
knew go ,20,8.95E-06
come life ,20,8.95E-06
year know ,20,8.95E-06
can set ,20,8.95E-06
get run ,20,8.95E-06
say oh ,20,8.95E-06
top ten ,20,8.95E-06
win rt ,19,8.50E-06
lol come ,19,8.50E-06
life lol ,19,8.50E-06
lol p ,19,8.50E-06
we鈥檙 go ,19,8.50E-06
old son ,19,8.50E-06
get kid ,19,8.50E-06
鈥淚 don鈥檛 ,19,8.50E-06
way rt ,19,8.50E-06
less year ,19,8.50E-06
old new ,19,8.50E-06
fat ass ,19,8.50E-06
go ask ,19,8.50E-06
one fav ,19,8.50E-06
old town ,19,8.50E-06
pic come ,19,8.50E-06
come can ,19,8.50E-06
warp tour ,19,8.50E-06
week rt ,19,8.50E-06
one use ,19,8.50E-06
mom know ,19,8.50E-06
i鈥檝 got ,19,8.50E-06
one call ,19,8.50E-06
got mad ,19,8.50E-06
can hit ,19,8.50E-06
ha rt ,19,8.50E-06
week new ,19,8.50E-06
win win ,19,8.50E-06
guy rt ,19,8.50E-06
lil bit ,19,8.50E-06
know way ,19,8.50E-06
ok now ,19,8.50E-06
can teach ,19,8.50E-06
oh get ,19,8.50E-06
ask just ,19,8.50E-06
day cool ,19,8.50E-06
week see ,19,8.50E-06
fan know ,19,8.50E-06
set new ,19,8.50E-06
u cant ,19,8.50E-06
im bout ,19,8.50E-06
even got ,19,8.50E-06
just eat ,19,8.50E-06
go enjoy ,19,8.50E-06
send way ,19,8.50E-06
six flag ,19,8.50E-06
saw guy ,19,8.50E-06
year also ,19,8.50E-06
part life ,19,8.50E-06
haha im ,19,8.50E-06
pale ale ,19,8.50E-06
hot tub ,19,8.50E-06
can enjoy ,19,8.50E-06
new pic ,19,8.50E-06
day us ,19,8.50E-06
see boy ,19,8.50E-06
thx rt ,19,8.50E-06
ugh hate ,19,8.50E-06
rock band ,19,8.50E-06
also see ,19,8.50E-06
one yet ,19,8.50E-06
now run ,19,8.50E-06
lol now ,19,8.50E-06
hate see ,19,8.50E-06
go end ,19,8.50E-06
per week ,19,8.50E-06
may god ,19,8.50E-06
done just ,19,8.50E-06
ugh just ,19,8.50E-06
don鈥檛 care ,19,8.50E-06
fun just ,18,8.05E-06
know tri ,18,8.05E-06
send pic ,18,8.05E-06
hate just ,18,8.05E-06
tri call ,18,8.05E-06
got us ,18,8.05E-06
rt day ,18,8.05E-06
one rt ,18,8.05E-06
